,date,sentiment,Count,ticker,open,high,low,close,volume,ex-dividend,split_ratio,adj_open,adj_high,adj_low,adj_close,adj_volume,diff,bin_sentiment,bin_diff
60,2014-07-30,11,80,AAPL,98.44,98.7,97.67,98.15,33010000.0,0.0,1.0,93.0308167327,93.2765299829,92.3031274917,92.7567519537,33010000.0,-0.29,1,-1
61,2014-07-31,-29,91,AAPL,97.16,97.45,95.33,95.6,56843000.0,0.0,1.0,91.8211515009,92.09521628,90.0917082399,90.3468719997,56843000.0,-1.56,-1,-1
62,2014-08-01,13,32,AAPL,94.9,96.62,94.81,96.13,48511000.0,0.0,1.0,89.685336326,91.3108239813,89.6002817394,90.8477490097,48511000.0,1.23,1,1
63,2014-08-04,44,99,AAPL,96.37,96.58,95.17,95.59,39958000.0,0.0,1.0,91.0745612407,91.2730219428,89.9405000859,90.3374214901,39958000.0,-0.78,1,-1
64,2014-08-05,7,113,AAPL,95.36,95.68,94.36,95.12,55933000.0,0.0,1.0,90.1200597687,90.4224760767,89.1750088064,89.8932475378,55933000.0,-0.24,1,-1
65,2014-08-06,38,142,AAPL,94.75,95.48,94.71,94.96,38558000.0,0.0,1.0,89.5435786817,90.2334658842,89.5057766432,89.7420393838,38558000.0,0.21,1,1
66,2014-08-07,37,104,AAPL,94.93,95.95,94.1,94.48,46711000.0,0.47,1.0,90.159977369,91.128724624,89.3716830341,89.7325888742,46711000.0,-0.45,1,-1
67,2014-08-08,0,6,AAPL,94.26,94.82,93.28,94.74,41865000.0,0.0,1.0,89.5236433878,90.0555046258,88.5928862212,89.979524449,41865000.0,0.48,0,1
68,2014-08-11,-7,21,AAPL,95.27,96.08,94.8355,95.99,36585000.0,0.0,1.0,90.4828931207,91.2521924114,90.0702257851,91.1667147124,36585000.0,0.72,-1,1
69,2014-08-12,6,37,AAPL,96.04,96.88,95.61,95.97,33795000.0,0.0,1.0,91.214202323,92.01199418,90.8058088723,91.1477196682,33795000.0,-0.07,1,-1
70,2014-08-13,53,87,AAPL,96.15,97.24,96.04,97.24,31916000.0,0.0,1.0,91.3186750662,92.3539049759,91.214202323,92.3539049759,31916000.0,1.09,1,1
71,2014-08-14,2,35,AAPL,97.33,97.57,96.8,97.5,28116000.0,0.0,1.0,92.4393826749,92.6673232055,91.9360140032,92.6008405507,28116000.0,0.17,1,1
72,2014-08-15,10,34,AAPL,97.9,98.19,96.86,97.98,48951000.0,0.0,1.0,92.980741435,93.2561695761,91.9929991358,93.0567216119,48951000.0,0.08,1,1
73,2014-08-18,13,44,AAPL,98.49,99.37,97.98,99.16,47572000.0,0.0,1.0,93.5410952394,94.3768771849,93.0567216119,94.1774292206,47572000.0,0.67,1,1
74,2014-08-19,7,110,AAPL,99.41,100.68,99.32,100.53,69274700.0,0.0,1.0,94.4148672733,95.621052581,94.3293895743,95.4785897494,69274700.0,1.12,1,1
75,2014-08-20,23,71,AAPL,100.44,101.09,99.95,100.57,52612800.0,0.0,1.0,95.3931120504,96.0104509874,94.9277334671,95.5165798378,52612800.0,0.13,1,1
